Screen Name,Name,Description,URL,Location,Time Zone,Number of Tweets,Followers Count,Following ,Listed
@asocialcontract,Warren Adelman,Used to be a tinker. Now I'm just a thinker.,,Where the wind takes me,Pacific Time (US & Canada),4651,2538,69,103
@nisselson,Evan Nisselson,"Investor, @LDVCapital. @LDVVisionSummit Mentor: @500startups @seedcamp & search 4 back country powder on my telemark boards",http://t.co/l3tBagRCjI,,Rome,4875,3243,1411,180
@kristianindy,Kristian Andersen,"Design + Startups + Hunting & Outdoors. Married to Brandi, Daddy to Scout, Daisy, Indy, Dixie, Dolly & Violet. @HighAlpha & @StudioScience",http://t.co/VwYakeCum9,Indianapolis & Arkansas,Indiana (East),6887,4774,359,435
@CJAhearn,Chris Ahearn,"Husband, Dad, Venture Partner at FirstMark Capital, Boards of NewsCred, IgnitionOne and WiserCare and The Kitchen",http://t.co/UebnrZhKxI,Santa Monica,Pacific Time (US & Canada),1357,2626,336,125
@TheReelist,TheReelist,More info about the movies and TV shows you love. We share only the most interesting links from the web (and explicitly do NOT share reviews or trailers),http://t.co/dWxGTd66U5,L.A. / Denver / New York,Pacific Time (US & Canada),17118,48704,1334,854
@kbaran,Kerim Baran,"Co-founder & Chairman @CivicSolar, Investor. Kiteboarder.",http://t.co/Q8j59LbGOG,San Francisco,Pacific Time (US & Canada),326,1221,363,87
@davehonig,David Honig,"VP @dynamic_signal. @BuddyMedia, acquired by @Salesforce. Co-Founder @Dstillery. @DoubleClick (Acq-Google). Board @interclick-Acq by @yahoo",http://t.co/EK6zaiUNVc,NYC,Eastern Time (US & Canada),5792,1929,532,188
@bbalfour,Brian Balfour,"VP Growth @ HubSpot, Formerly EIR @ Trinity Ventures, Co-Founder at Boundless, Viximo, and PopSignal.",http://t.co/tw8wCcoXu1,"San Francisco, CA",Central Time (US & Canada),2365,10055,198,668
@sampullara,Sam Pullara,"vc at sutter hill ventures, coder, poker player, old fashioned drinker, ex-founder, ex-twitter, ex-yahoo, ex-weblogic",https://t.co/eLaTW2U1pn,"Los Altos, CA",Pacific Time (US & Canada),19828,9817,1844,433
@Michels,Oren Michels,"Mashery CEO, enjoyer of family, friends, great food and wine, and martinis",http://t.co/NLhfJOUx7L,"37.787423,-122.403525",Eastern Time (US & Canada),3084,6118,913,396
@liaonet,Bill Liao ☯,http://t.co/9R5jhOdB6c - investment ------------ http://t.co/UuwDtXOZF7 - philanthropy ---- http://t.co/t2txcdSyPJ - awesomeness,http://t.co/qHsjGdVXI9,Cork Ireland,Bern,33071,62161,8889,811
@Batterii,Batterii,Innovation software for the enterprise. Batterii is tailored to your #innovation process to engage global teams to build a pipeline of breakthrough ideas.,http://t.co/TaZ0j1as,Global,Atlantic Time (Canada),6127,1512,4527,217
@dannymasterson,danny masterson,"i been workin on the railroad,all the live long day... i been workin on the railroad jus to pass the time awaaaay...",http://t.co/MFSRUeDK0m,tribeca.E hollywood.park city.,Pacific Time (US & Canada),3548,1634417,52,5432
@philippe_cases,philippe_cases,Spoke Software CEO. Board Member Jaspersoft and VenturBeat. Interested in community based businesses.,http://t.co/StrF9fzxH2,San Mateo,Pacific Time (US & Canada),1076,468,231,28
@rfradin,Russell Fradin,CEO @dynamic_signal. BOD @comscore @tubemogul.,https://t.co/EK6zajcoMK,California,Pacific Time (US & Canada),15234,4937,1513,304
@dvillarrealm,Diego Villarreal,,http://t.co/Xls7WfqBzl,,,99,121,216,5
@florianseroussi,Florian Seroussi,"I do what I love and love what I do. Founder @Sendersinfo @Trackbuster and @Labotec, Investor in 30+ startups.",https://t.co/AmmkKuFoAP,+972,,30013,48735,15431,678
@ronboug,ron bouganim,"Father of two awesome kids. Also, founder of @GovtechFund.",,San Francisco,,396,1275,426,103
@jlarrison,Jim Larrison,"Co-Founder Dynamic Signal. Live in Glen Ellyn (Chicago), early exec @ comScore+Adify. Interests: Politics, Ch Bears, Social Media, Film, Youth Football/Lacrosse",http://t.co/lXbY4MBKrz,"Chicago, IL",Central Time (US & Canada),13129,10984,5868,424
@mnaficy,Mariam Naficy,"Entrepreneur, CEO of http://t.co/DeHHRxbp9S, board member of Yelp, Every Mother Counts",http://t.co/5spBcRt0v8,"San Francisco, CA",Pacific Time (US & Canada),802,3779,128,138
@dgould,Dan Gould,"Founder, Tappy",http://t.co/gNOCMVaQyW,"Santa Monica, CA",Pacific Time (US & Canada),3,658,5,77
@mattsalz,Matt Salzberg,Founder & CEO at Blue Apron,https://t.co/yXibwaK2xr,"New York, NY",Eastern Time (US & Canada),1287,2644,699,141
@davidcoallier,David Coallier,"Founder of Security as a Service company @barricadeio. Avid Snowboarder. AI perp. Ex Security Data Scientist @engineyard, co-founder @orchestraio",http://t.co/pcz3O3Kfx3,,Dublin,12211,4259,1137,369
@natfriedman,Nat Friedman,"CEO and cofounder of Xamarin. Books, startups, travel, self improvement, science, math, airplanes.",http://t.co/KqKxRK2dwu,San Francisco,Pacific Time (US & Canada),11736,11216,876,522
@mmccue,Mike McCue,"Flipboard co-founder, ceo",https://t.co/YsjWc9lqQX,"Palo alto, ca",Pacific Time (US & Canada),7769,18332,682,1089
@kenhertz,Ken Hertz,artists brands chaos,http://t.co/ONEvJ2RCg9,"ÜT: 29.985748,-90.082406",Pacific Time (US & Canada),3120,1786,587,99
@rglein,Randy Glein,"VC @ DFJ, technology enthusiast, sports nut, dad",,"Menlo Park, CA",Pacific Time (US & Canada),233,554,203,33
@smlyne,Susan Lyne,"Serial home renovator, advisor, mother of daughters. Founder BBG Ventures @AOL, director @GiltGroupe and @Starz. Alum of @ABC, @MSLO and Premiere Mag.",http://t.co/RwiHDC5Eoi,New York,Atlantic Time (Canada),844,4785,1083,195
@jtimberlake,Justin Timberlake,The Official Twitter of Justin Timberlake,http://t.co/SRqd8jW6W3,"Memphis, TN",Pacific Time (US & Canada),3184,54186696,145,76060
@michaelkbaker,Mike Baker,An entrepreneur turned VC turned entrepreneur again,,Boston,Central Time (US & Canada),610,1147,234,70
@tconrad,Tom Conrad,VP of Product @snapchat.,https://t.co/usEQMTNHWg,,Pacific Time (US & Canada),5745,172024,818,1270
@andrewbusey,Andrew Busey,"I turn ideas into reality. See also @legitapp, @teamchaos, @capitalfactory. Check out my new novel: Accidental Gods on Kindle.",https://t.co/KWzuLlr0md,"Austin, TX",Central Time (US & Canada),2949,2084,233,116
@nobleackerson,Noble,http://t.co/Djy6I7okvr,https://t.co/Djy6I7nMFT,"Newton Woods, United States",Eastern Time (US & Canada),3562,1839,1720,88
@kamalravikant,Kamal Ravikant,I write. I invest in startups.,http://t.co/5zy232TYOm,NYC,Pacific Time (US & Canada),6421,7199,90,235
@EghosaO,Eghosa Omoigui,Dad; Stage-agnostic Internet/Mobile/Semantic Tech Venture Capital Investor (US/Africa/SE Asia); ex-Intel Capital; ASTIA & SWIFT advisor #IDontFlinch #RLTW,http://t.co/VZsdIdHrsL,"Palo Alto, CA; Lagos, Nigeria",Pacific Time (US & Canada),26685,7240,731,502
@petershankman,Peter Shankman,"Best-selling #CustServ author/futurist, keynote speaker, angel investor, marketer, @NASA advisor, HARO Founder. Ironman. Skydiver. Dad.",http://t.co/TO9d2YEjq5,"New York, NY",Eastern Time (US & Canada),28362,169363,569,7311
@lefkofsky,Eric Lefkofsky,"@LightBank, @Groupon, @Uptake, @EchoLogistics, @MediaOcean, @InnerWorkings",http://t.co/rs7vNHpfT0,,Central Time (US & Canada),663,5488,142,196
@devdutt,devdutt yellurkar,"VC, traveler, foodie and proud grandpa!",https://t.co/wyoriGlDoK,"Palo Alto, CA",Pacific Time (US & Canada),2247,1416,360,71
@hinssen,Peter Hinssen,"Author, Speaker and Serial Technologist with a short attention span combined with a long-term outlook. Believer in networks. Founder of http://t.co/Sqg3SWwa9y",http://t.co/rdXAtPKLdN,,Brussels,2268,23348,186,670
@craigulliott,Craig Ulliott,"Technologist, Entrepreneur and Investor. Currently CTO/Co-Founder @BellyCard. Married to @thekatylynch.",http://t.co/Fub2SwON8u,Chicago,Central Time (US & Canada),604,4773,161,195
@justinbieber,Justin Bieber,Let's make the world better. Join @bkstg and add me on @shots 'justinbieber'. OUR new single COMPANY out now. OUR new album PURPOSE out NOW,https://t.co/2B1YApLM35,,Eastern Time (US & Canada),30737,80074604,262861,624631
@mjacobstein,Mark Jacobstein,"CUEO Guardant Health, former CEO of iSkoot (QCOM), EVP loopt, Pres Digital Chocolate, SVP iXL, founder/CEO Small World Sports & SW Software",http://t.co/kXLfl3XIgB,San Francisco,Pacific Time (US & Canada),690,1151,1065,63
@nstata,Nicole M. Stata,"Partner, Boston Seed Capital",http://t.co/Bo6hMbmXDS,Boston,Eastern Time (US & Canada),865,1234,297,77
@SunilPaul,Sunil Paul,Co-founder & CEO of @Sidecar,http://t.co/MzZsOYifKG,San Francisco,Pacific Time (US & Canada),2344,4314,329,206
@mikeprasad,Mike Prasad,"Founding Partner, focused on global, thesis & incubation at @goventurelab. Creator of twittering food trucks, a cocktail week, bitters company & more.",https://t.co/ry98ufssbk,LA / SF / ??,Pacific Time (US & Canada),14922,7025,2262,615
@ashfontana,Ash Fontana,Invest in data and ML-centric enterprise software at @zettaventures. Launched and lead the fundraising business at AngelList. Co-founded and sold Topguest.,https://t.co/gICxBpU9Bi,San Francisco,Pacific Time (US & Canada),5508,2746,99,136
@tomdare,Tom Dare,Science,http://t.co/DilDLRCohc,Santa Monica,Pacific Time (US & Canada),230,278,382,19
@reedhastings,Reed Hastings,CEO Netflix,,,Pacific Time (US & Canada),47,14290,55,409
@lawbla,Lawrence Black,"Venture Investor in 300 private companies. Trader in all else. Got a thing for Uni, babies, and time travel @willienelson @taylors_mill @thebleachery @nextgenvp",https://t.co/5U6BsbH0Bk,"Greenville, SC",Eastern Time (US & Canada),585,1434,886,50
@ypik,Yuri Pikover,,,,,2,91,47,3
@svPatrick,Patrick Gannon,"I invest in early-stage tech companies. I love math, finance music, swimming, and more.",,Silicon Valley,Pacific Time (US & Canada),7772,1481,298,45
@ericwu01,Eric Wu,"CEO, http://t.co/IOFcrLJFPb",http://t.co/IOFcrLJFPb,San Francisco,Pacific Time (US & Canada),520,1472,801,97
@JoelCPeterson,Joel Peterson,"Chairman of the Board, JetBlue Airways Corporation.  Stanford Graduate School of Business. Founding partner of Peterson Partners, LLP.",,,Arizona,149,4080,43,147
@haxor,Brett Slatkin,"Eng lead @Google_Surveys. Author of @EffectivePython.
I love bicycles and hate patents.",http://t.co/aaUMAjUIWi,San Francisco,Pacific Time (US & Canada),1834,2813,809,158
@ROWGHANI,Ali Rowghani,Our imagination soars; we are but its shadow on the Earth. Pixar (CFO) then Twitter (COO) now YCombinator,,,Pacific Time (US & Canada),3263,27766,1491,426
@alexg0,Alexander Goldstein,,,"41.887716,-87.731649",Central Time (US & Canada),345,868,562,15
@tonysphere,Tony Conrad,"Founder about.me,/ Sphere; True Ventures: WordPress, Blue Bottle, Slack, HODINKEE, Typekit, MakerBot, High Fidelity, Glowforge, Mast Brothers, Growth Hackers",https://t.co/GAMCOberze,San Francisco,Pacific Time (US & Canada),7141,37249,268,1703
@jondahl,Jon Dahl,"Engineer and startup founder. Previously founder @zencoderinc and VP Technology @brightcove. Philosophy/theology nerd, Vikings fan in exile, aspiring Luddite.",http://t.co/VZTkJmzdjI,San Francisco,Pacific Time (US & Canada),1380,1260,204,147
@bhalligan,Brian Halligan,"CEO @HubSpot, Author of Inbound Marketing book, MIT Sr. Lecturer.",http://t.co/BSMkpqUZVG,Cambridge,Eastern Time (US & Canada),8736,54481,3029,3486
@joscwhite,Jos White,"Entrepreneur turned investor. Partner at Notion Capital & angel investor. Previously co-founder of RBR Networks, Star & MessageLabs.",https://t.co/Iw9ltseRRx,London / New York,London,1703,3134,1504,242
@mattholleran,Matt Holleran,"Business Freemium and Enterprise Cloud Venture Capital.  Kids, friends and family.  Occasional adventure just for me.",,"San Francisco, CA",Pacific Time (US & Canada),165,469,167,40
@MayankBawa,Mayank Bawa,President of Teradata Aster R&D Labs; co-founder of aster data systems; big data technologist; voracious reader; angel investor,http://t.co/sqJto5GB2e,San Francisco,,33,230,73,47
@JoshAbramson,Josh Abramson,"Co-founder CollegeHumor, Vimeo, BustedTees, & TeePublic",,New York,Central Time (US & Canada),676,1796,359,83
@bonatsos,Niko Bonatsos,"@gcvp | Entrepreneur at heart. Talent is universal, while opportunity is not.",https://t.co/Ybw82oFxdt,"Palo Alto, CA",Pacific Time (US & Canada),3700,6190,923,336
@derekmercer,Derek Mercer,"I am a Generator a powerful force for action, for progress, and enthusiastic believer in people and their capacity to do the awesome!  Let's Tech.",http://t.co/6pl5pR2HXY,"iPhone: 38.997238,-77.026505",Mountain Time (US & Canada),361,164,119,11
@gkremen,Gary Kremen,"Founder https://t.co/SkHPLxoD5j & https://t.co/gwTqFAN43Z. Incubator WaterSmart Software. Board Member Santa Clara Valley Water District, Father and peak bagger",https://t.co/zo64UylmPM,Santa Clara County,Arizona,452,37441,287,55
@jaltma,Jack Altman,cofounder at Lattice,https://t.co/8mcUA6dNcn,San Francisco,Atlantic Time (Canada),1776,2412,407,86
@kduggan,Kris Duggan,CEO of BetterWorks. Awesome Dad.,http://t.co/N2eRo90FxG,"Palo Alto, CA",Pacific Time (US & Canada),4238,16089,91,395
@FabriceLeParc,Fabrice Le Parc,"Live Smarter, Die Later. 
As a Web Entrepreneur and investor, I aspire to give people the tools to live their lives the way they choose to.",https://t.co/9U207c3ob5,"Manhattan, Paris, London",Paris,4507,8806,245,54
@toofan,Dwipal Desai,"Creating the next big thing at #samsung #vr. Previously - TerrainHome (Samsung), Pickvee, YouTube, Paypal.",https://t.co/nomgYBDjhm,Bay Area,Pacific Time (US & Canada),736,925,275,60
@anandsw,anandsw,"Managing Director @Accenture // Global Head, Growth & Strategy @AccentureDigi // Angel Investor // Skier // Triathlete // Dad // Husband to @SFGenetics",https://t.co/VRRrVN1umx,San Francisco,Pacific Time (US & Canada),594,526,563,47
@kevinfortuna,Kevin Fortuna,Founder of Lot18 and Popdust.,http://t.co/2ub1rEUOJi,"New York, USA",Eastern Time (US & Canada),304,460,345,22
@mikemap,Mike Maples,Rancher of Deer and Antelope,http://t.co/Xy7jR8v50y,"Austin, TX",Central Time (US & Canada),66,263,63,8
@dlawee,david  lawee,,http://t.co/UoS5DvPxdk,,Pacific Time (US & Canada),134,1667,123,70
@demandrichard,Richard Rosenblatt,"Internet entrepreneur. Let's talk business, social, and whatever is interesting; Now, I'm all about whipclip https://t.co/Hp7FrbnwI2",,"Santa Monica, CA",Pacific Time (US & Canada),8553,166563,55,1093
@dpatil,dj patil,Follow me at @dj44 for official tweets. Views are my own here.,http://t.co/estKCstk8Q,"Washington, DC",Pacific Time (US & Canada),11652,32842,1202,1581
@gregbettinelli,Greg Bettinelli,"#LongLA. Partner @UpfrontVC. Advisor FreemanSpogli. Co-founder MuckerLab. Former CMO @HauteLook (now @Nordstrom), @eBay, @StubHub @LiveNation.",http://t.co/nkiCWbxWHm,Los Angeles via Petaluma,Pacific Time (US & Canada),14247,7810,1426,368
@simeons,Simeon Simeonov,Founder & CTO of Swoop. Serial entrepreneur. Angel investor. Reformed VC. Maker of new mistakes. Occasionally goofy dad.,http://t.co/zedAKHKGLJ,"Boston, MA",Quito,7963,10582,1013,595
