Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Curio #963 | May ICU Home Tonight?. @curious  https://t.co/zIzOk5wMUn,Sat Mar 12 10:45:46 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #962 | The art of money laundering. @curious  https://t.co/10ecfga4XI,Fri Mar 11 10:45:46 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #961 | So are you into Mechanical Dance Music?. @curious  https://t.co/seCN5nhH32,Thu Mar 10 10:45:38 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #960 | A bumblebee drama in three acts. @curious  https://t.co/PCwrJGnBYY,Wed Mar 09 10:45:40 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #959 | The open and Shud case of Somerton man. @curious  https://t.co/wT8u62xKvT,Tue Mar 08 10:45:28 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #958 | The blackest black paint ever. @curious  https://t.co/OCBflFWGOL,Mon Mar 07 10:45:54 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #957 | Thank WWII for Doritos Locos Tacos. @curious  https://t.co/7NP4IEDHUo,Mon Mar 07 05:51:51 +0000 2016,es,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #957 | Thank WWII for Doritos Locos Tacos. @curious  https://t.co/7NP4IEDHUo,Sun Mar 06 10:45:54 +0000 2016,es,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #956 | Salem witchcraft or rye-bread-acid trips?. @curious  https://t.co/1M68fzCpRZ,Sat Mar 05 10:45:54 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #955 | A plane with serious hang time. @curious  https://t.co/v7cubisGVj,Fri Mar 04 10:45:06 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #954 | A lightning stroke of genius. @curious  https://t.co/tuHfXPqXI3,Thu Mar 03 10:45:54 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #952 | Gaming the friendly skies. @curious  https://t.co/8Hb7NjIa0T,Tue Mar 01 10:45:36 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #951 | The man who quit money. @curious  https://t.co/YfjdcWWgnQ,Tue Mar 01 00:21:56 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #951 | The man who quit money. @curious  https://t.co/EyrxpaN26O,Mon Feb 29 18:14:03 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #950 | What's worse than the worst movie ever?. @curious  https://t.co/yT89SH4AFf,Sun Feb 28 10:45:42 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #949 | Only psychopaths drink it black. @curious  https://t.co/8dK3AZioez,Sat Feb 27 10:45:42 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #948 | The wild history of the Jules Rimet trophy. @curious  https://t.co/XzeqlOE83W,Fri Feb 26 10:45:40 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #947 | A truly powerful lake. @curious  https://t.co/tadioEFmoG,Thu Feb 25 10:45:12 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #946 | The day art defeated Congress. @curious  https://t.co/KB3CkFpXQC,Wed Feb 24 10:45:44 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #945 | Is 'i &lt;3 u' the same as 'I love you'?. @curious  https://t.co/TKy2GQl2hI,Tue Feb 23 10:45:24 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #944 | More proof Excel is the coolest program ever. @curious  https://t.co/XJVdjvUwhI,Mon Feb 22 10:45:53 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #943 | What's up with those f-holes?. @curious  https://t.co/CmJJbKgiNc,Sun Feb 21 10:45:53 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #942 | Trying to shine light on dark matter. @curious  https://t.co/i7tVMjLiUf,Sat Feb 20 10:45:53 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #941 | Don't set your iPhone to the Unix epoch!. @curious  https://t.co/8MQx1HZPDd,Fri Feb 19 10:45:38 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #940 | For the love of detangling. @curious  https://t.co/xtegwFVCO0,Thu Feb 18 10:45:44 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #939 | The most mysterious manuscript in the 'qokeedy'. @curious  https://t.co/hSXLDIQEpj,Wed Feb 17 10:45:12 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #938 | A do-it-your-selfie guide. @curious  https://t.co/hKTe0lLfTc,Tue Feb 16 10:45:42 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #937 | A legendary sample example. @curious  https://t.co/bAnPhEu3br,Mon Feb 15 22:45:42 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #936 | Love actually, the MRI version. @curious  https://t.co/KVqJy1fUIx",Sun Feb 14 10:45:50 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #935 | (Over)analyzing Winnie the Pooh. @curious  https://t.co/KBkXC5tzBX,Sat Feb 13 10:45:04 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #934 | Love actually, the economic version. @curious  https://t.co/NseLNXWUZp",Fri Feb 12 10:45:28 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #933 | A Mississippi River Basin for a tiny planet. @curious  https://t.co/zghSHcJIq6,Thu Feb 11 10:45:08 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #932 | Cleaning up Mardi Gras. @curious  https://t.co/TGiqDfx4Yf,Wed Feb 10 10:45:44 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #931 | Vote Vermin Love Supreme in 2016. @curious  https://t.co/iHIxuALKzV,Tue Feb 09 10:45:20 +0000 2016,es,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #930 | Google can beat anybody at almost any game. @curious  https://t.co/80POO87B2N,Mon Feb 08 10:45:35 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #929 | A game for people who aren't watching the game. @curious  https://t.co/e3ChczyUvB,Sun Feb 07 10:45:35 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #928 | The Philly accent (of sign language). @curious  https://t.co/bPnPwApfPb,Sat Feb 06 10:45:35 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #927 | Hot hippos in Britain. @curious  https://t.co/vPFuhBaFoR,Fri Feb 05 10:45:56 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #926 | Super audience Sunday. @curious  https://t.co/9MXJbav2ge,Thu Feb 04 10:45:12 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #925 | Coffee drinkers are energy wasters. @curious  https://t.co/2gjDVjuS2L,Wed Feb 03 10:45:18 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #924 | Swearing like a (smart) sailor. @curious  https://t.co/Fv60unNhmk,Tue Feb 02 10:45:08 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #923 | Postmarked with love in Nebraska. @curious  https://t.co/MtJ2F2kgLp,Mon Feb 01 10:45:16 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #922 | What airports do with your contraband food. @curious  https://t.co/cqTENBCuL0,Sun Jan 31 10:45:15 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #921 | Stopping crime with giant eyeballs. @curious  https://t.co/36nAQ5vMeq,Sat Jan 30 10:45:16 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #920 | Left-side sleepers beware. @curious  https://t.co/JDiCnAgq3T,Fri Jan 29 10:45:44 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #919 | Please clean the office coffee maker. @curious  https://t.co/jSh3efzi6B,Thu Jan 28 10:45:36 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #918 | Meet the ""designated survivor"". @curious  https://t.co/Ya3w3ZxVhR",Wed Jan 27 10:45:30 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #917 | Another reason to live in Seattle. @curious  https://t.co/rLQaflxUQJ,Tue Jan 26 10:45:04 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #916 | A science sob story. @curious  https://t.co/n9ta4lpiuw,Mon Jan 25 10:45:03 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #915 | I said roll up the television now!. @curious  https://t.co/4aILvGtWVo,Sun Jan 24 10:45:46 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #914 | The healing power of music (on your brain). @curious  https://t.co/GJ8FB38lnc,Sat Jan 23 10:45:02 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #913 | A brief story about long books. @curious  https://t.co/DpXG0fJKWW,Fri Jan 22 10:45:35 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #912 | Endohedral fullerenes are a girl's best friend?. @curious  https://t.co/pSVHgguc1U,Thu Jan 21 10:45:04 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #911 | Milk the cow at night, sleep more tight. @curious  https://t.co/3XOlYs89kY",Wed Jan 20 10:45:48 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #910 | What's with your RBF?. @curious  https://t.co/osUUCHYxUZ,Tue Jan 19 10:45:24 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #909 | The myth of the Monday blues. @curious  https://t.co/SQ0oNihbBB,Mon Jan 18 10:45:24 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #908 | New ""Netflix and wool"" socks. @curious  https://t.co/tkhFLolGXk",Sun Jan 17 10:45:24 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #907 | Online dating is only going to get weirder. @curious  https://t.co/RtmPjHiICW,Sat Jan 16 10:45:24 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #906 | What's behind the Mona Lisa?. @curious  https://t.co/wwXLYaVs7N,Fri Jan 15 10:45:48 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #905 | Here's some super-heavy chemistry news. @curious  https://t.co/XHkRv7f9zp,Thu Jan 14 10:45:00 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #904 | Roads that recharge. @curious  https://t.co/Go7qWWWnsZ,Wed Jan 13 10:45:24 +0000 2016,en,2,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #903 | MIND your diet for a healthy brain!. @curious  https://t.co/dSrUEmVRES,Tue Jan 12 10:45:46 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #902 | Dust mite poop on your pillow. @curious  https://t.co/MTVMyq1XDS,Mon Jan 11 10:45:04 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #901 | Give for your health. @curious  https://t.co/8S2goQa3BS,Sun Jan 10 10:45:04 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #900 | Tipping history. @curious  https://t.co/hXoeQ8n1pP,Sat Jan 09 10:45:04 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #899 | Science says dad bods are real. @curious  https://t.co/fqXe4KqXpY,Fri Jan 08 10:46:01 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #898 | When people rented pineapples . @curious  https://t.co/iFTcmXvAyi,Thu Jan 07 10:45:12 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #897 | It's time to take down your Christmas lights. @curious  https://t.co/7iTO7mmw7o,Wed Jan 06 10:45:30 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #896 | How American school buses became yellow. @curious  https://t.co/08TY6u8BSI,Tue Jan 05 10:45:30 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #895 | It's your workplace, not your work, that's killing you. @curious  https://t.co/HEfL22PbNk",Mon Jan 04 10:45:28 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #894 | Finding the average smile. @curious  https://t.co/fg5AirbKM8,Sun Jan 03 10:45:28 +0000 2016,en,0,False,1,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
"Curio #893 | Strong legs, strong mind. @curious  https://t.co/G4x5nngpkb",Sat Jan 02 10:45:28 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #892 | Champagne chemistry for the new year. @curious  https://t.co/PL8oghhF6q,Fri Jan 01 10:45:28 +0000 2016,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #891 | How organized crime stole Christmas. @curious  https://t.co/gG0AW0zVcY,Mon Dec 21 10:45:40 +0000 2015,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
Curio #890 | Why we kiss under a poisonous and toxic plant. @curious  https://t.co/5epc50fE66,Sun Dec 20 10:45:40 +0000 2015,en,0,False,0,False,"{'coordinates': [-122.1642517, 37.4549932], 'type': 'Point'}",Justin Kitch,ceounplugged
